Agent No,TZ,T0,TS,DT,PP,PR,PT
1,UTC+8,00:00,24:00,1,0,1,1
2,UTC+8,06:00,23:00,2,0,1,1
3,UTC-8,00:00,24:00,1,0,1,1
4,UTC+0,06:00,23:00,2,0,1,1
5,UTC-8,06:00,23:00,2,1,0,0
6,UTC+0,08:00,22:00,3,0,0,0
7,UTC+0,06:00,23:00,2,0,1,0
8,UTC-8,06:00,23:00,2,1,0,0
9,UTC+0,06:00,23:00,2,0,0,0
10,UTC-8,08:00,22:00,3,0,1,1
11,UTC+8,08:00,22:00,3,0,0,0
12,UTC-8,08:00,22:00,3,0,1,1
13,UTC+0,08:00,22:00,3,1,0,0
14,UTC+8,00:00,24:00,1,0,1,1
15,UTC+8,06:00,23:00,2,0,0,0
16,UTC+8,06:00,23:00,2,0,1,0
17,UTC+8,06:00,23:00,2,0,1,1
18,UTC-8,08:00,22:00,3,0,0,0
19,UTC+0,08:00,22:00,3,0,1,1
20,UTC-8,08:00,22:00,3,0,1,1
21,UTC+8,08:00,22:00,3,0,1,1
22,UTC-8,06:00,23:00,2,0,0,0
23,UTC-8,06:00,23:00,2,0,0,0
24,UTC-8,08:00,22:00,3,0,0,0
25,UTC+8,00:00,24:00,1,0,0,0
26,UTC+8,08:00,22:00,3,0,0,0
27,UTC+0,08:00,22:00,3,0,0,0
28,UTC+8,00:00,24:00,1,0,0,0
29,UTC+0,00:00,24:00,1,0,1,1
30,UTC-8,06:00,23:00,2,0,0,0
31,UTC-8,06:00,23:00,2,0,1,1
32,UTC-8,06:00,23:00,2,0,0,0
33,UTC-8,06:00,23:00,2,0,1,1
34,UTC-8,00:00,24:00,1,0,1,1
35,UTC+0,00:00,24:00,1,1,0,0
36,UTC-8,06:00,23:00,2,0,0,0
37,UTC+0,06:00,23:00,2,0,0,0
38,UTC-8,00:00,24:00,1,0,0,0
39,UTC+0,06:00,23:00,2,0,0,0
40,UTC+8,00:00,24:00,1,0,0,0
41,UTC+0,08:00,22:00,3,0,0,0
42,UTC+8,00:00,24:00,1,0,1,1
43,UTC-8,06:00,23:00,2,0,1,1
44,UTC+8,06:00,23:00,2,0,0,0
45,UTC+0,00:00,24:00,1,0,1,1
46,UTC+8,00:00,24:00,1,1,0,0
47,UTC-8,08:00,22:00,3,0,0,0
48,UTC-8,06:00,23:00,2,0,0,0
49,UTC+0,08:00,22:00,3,0,1,1
50,UTC-8,06:00,23:00,2,0,1,1
51,UTC+0,00:00,24:00,1,0,1,0
52,UTC+8,06:00,23:00,2,1,0,0
53,UTC+8,06:00,23:00,2,0,1,1
54,UTC-8,08:00,22:00,3,1,0,0
55,UTC+8,06:00,23:00,2,0,0,0
56,UTC-8,00:00,24:00,1,0,0,0
57,UTC-8,06:00,23:00,2,0,0,0
58,UTC+8,00:00,24:00,1,0,0,0
59,UTC+8,00:00,24:00,1,0,1,1
60,UTC+0,08:00,22:00,3,0,1,1
61,UTC+0,06:00,23:00,2,0,0,0
62,UTC+0,06:00,23:00,2,1,0,0
63,UTC+8,08:00,22:00,3,0,0,0
64,UTC-8,08:00,22:00,3,0,0,0
65,UTC+8,08:00,22:00,3,0,0,0
66,UTC+0,08:00,22:00,3,1,0,0
67,UTC+0,06:00,23:00,2,1,0,0
68,UTC+0,08:00,22:00,3,0,1,0
69,UTC+8,06:00,23:00,2,1,0,0
70,UTC+8,06:00,23:00,2,0,1,1
71,UTC+8,08:00,22:00,3,0,0,0
72,UTC+0,00:00,24:00,1,0,1,1
73,UTC+8,08:00,22:00,3,0,1,1
74,UTC-8,06:00,23:00,2,0,1,1
75,UTC+0,00:00,24:00,1,0,0,0
76,UTC+8,08:00,22:00,3,0,0,0
77,UTC+0,08:00,22:00,3,0,0,0
78,UTC+8,00:00,24:00,1,0,0,0
79,UTC+8,00:00,24:00,1,0,1,1
80,UTC-8,08:00,22:00,3,0,0,0
81,UTC-8,06:00,23:00,2,0,0,0
82,UTC-8,06:00,23:00,2,0,0,0
83,UTC-8,08:00,22:00,3,0,1,0
84,UTC-8,08:00,22:00,3,0,0,0
85,UTC+8,08:00,22:00,3,0,1,1
86,UTC+8,06:00,23:00,2,0,1,1
87,UTC-8,08:00,22:00,3,0,1,1
88,UTC+0,00:00,24:00,1,0,1,1
89,UTC-8,08:00,22:00,3,1,0,0
90,UTC+8,06:00,23:00,2,0,0,0
91,UTC+0,00:00,24:00,1,0,0,0
92,UTC+0,00:00,24:00,1,0,0,0
93,UTC+0,06:00,23:00,2,0,1,1
94,UTC+8,00:00,24:00,1,0,0,0
95,UTC-8,08:00,22:00,3,0,1,1
96,UTC+0,00:00,24:00,1,0,0,0
97,UTC+0,08:00,22:00,3,1,0,0
98,UTC-8,08:00,22:00,3,0,0,0
99,UTC-8,06:00,23:00,2,1,0,0
100,UTC+0,00:00,24:00,1,0,0,0
101,UTC-8,06:00,23:00,2,0,0,0
102,UTC+8,08:00,22:00,3,0,0,0
103,UTC+8,08:00,22:00,3,0,0,0
104,UTC+8,08:00,22:00,3,0,1,1
105,UTC+8,08:00,22:00,3,0,0,0
106,UTC+0,00:00,24:00,1,0,1,1
107,UTC+8,08:00,22:00,3,0,1,1
108,UTC+0,06:00,23:00,2,0,0,0
109,UTC-8,06:00,23:00,2,0,0,0
110,UTC+0,06:00,23:00,2,0,0,0
111,UTC-8,00:00,24:00,1,0,0,0
112,UTC+8,06:00,23:00,2,0,0,0
113,UTC+0,00:00,24:00,1,0,1,1
114,UTC+8,08:00,22:00,3,0,1,1
115,UTC+8,08:00,22:00,3,0,1,1
116,UTC+8,06:00,23:00,2,0,1,0
117,UTC+0,06:00,23:00,2,0,1,1
118,UTC+8,06:00,23:00,2,0,1,1
119,UTC+0,00:00,24:00,1,0,0,0
120,UTC-8,00:00,24:00,1,0,1,1
121,UTC+0,08:00,22:00,3,0,0,0
122,UTC-8,08:00,22:00,3,0,0,0
123,UTC+8,08:00,22:00,3,0,0,0
124,UTC-8,00:00,24:00,1,0,0,0
125,UTC+0,06:00,23:00,2,0,1,1
126,UTC+8,06:00,23:00,2,0,0,0
127,UTC-8,06:00,23:00,2,0,1,0
128,UTC+8,00:00,24:00,1,1,0,0
129,UTC-8,00:00,24:00,1,0,0,0
130,UTC-8,08:00,22:00,3,1,0,0
131,UTC+8,06:00,23:00,2,1,0,0
132,UTC-8,08:00,22:00,3,0,0,0
133,UTC+8,06:00,23:00,2,0,1,1
134,UTC-8,08:00,22:00,3,0,1,0
135,UTC-8,06:00,23:00,2,0,0,0
136,UTC-8,00:00,24:00,1,0,1,1
137,UTC+8,08:00,22:00,3,0,0,0
138,UTC+8,00:00,24:00,1,0,0,0
139,UTC+8,06:00,23:00,2,0,0,0
140,UTC-8,06:00,23:00,2,0,0,0
141,UTC+8,08:00,22:00,3,0,0,0
142,UTC-8,08:00,22:00,3,0,1,1
143,UTC+0,00:00,24:00,1,0,1,1
144,UTC+0,00:00,24:00,1,1,0,0
145,UTC-8,00:00,24:00,1,0,1,1
146,UTC+8,06:00,23:00,2,0,0,0
147,UTC-8,08:00,22:00,3,0,0,0
148,UTC-8,00:00,24:00,1,0,1,1
149,UTC+0,06:00,23:00,2,0,0,0
150,UTC+8,08:00,22:00,3,0,1,1
151,UTC+8,08:00,22:00,3,0,0,0
152,UTC+8,08:00,22:00,3,0,0,0
153,UTC+0,08:00,22:00,3,1,0,0
154,UTC+0,00:00,24:00,1,0,0,0
155,UTC+0,08:00,22:00,3,0,0,0
156,UTC+8,08:00,22:00,3,0,0,0
157,UTC+0,06:00,23:00,2,0,0,0
158,UTC+8,08:00,22:00,3,0,0,0
159,UTC+8,06:00,23:00,2,0,1,0
160,UTC+0,00:00,24:00,1,0,1,1
161,UTC-8,08:00,22:00,3,1,0,0
162,UTC+8,08:00,22:00,3,0,1,1
163,UTC+8,00:00,24:00,1,0,1,1
164,UTC+8,00:00,24:00,1,0,1,1
165,UTC+0,06:00,23:00,2,0,1,1
166,UTC+8,00:00,24:00,1,0,0,0
167,UTC+0,00:00,24:00,1,1,0,0
168,UTC+0,08:00,22:00,3,0,0,0
169,UTC+0,08:00,22:00,3,0,0,0
170,UTC-8,00:00,24:00,1,0,1,0
171,UTC-8,00:00,24:00,1,0,1,1
172,UTC+8,00:00,24:00,1,0,1,1
173,UTC+0,00:00,24:00,1,0,0,0
174,UTC-8,08:00,22:00,3,0,1,0
175,UTC-8,00:00,24:00,1,0,1,1
176,UTC-8,06:00,23:00,2,0,1,1
177,UTC+0,06:00,23:00,2,0,1,1
178,UTC+0,08:00,22:00,3,0,1,1
179,UTC+0,08:00,22:00,3,0,1,1
180,UTC+0,00:00,24:00,1,0,1,1
181,UTC-8,00:00,24:00,1,0,1,0
182,UTC+0,08:00,22:00,3,1,0,0
183,UTC-8,08:00,22:00,3,0,0,0
184,UTC+8,00:00,24:00,1,1,0,0
185,UTC-8,00:00,24:00,1,0,0,0
186,UTC-8,06:00,23:00,2,0,1,0
187,UTC-8,06:00,23:00,2,0,1,1
188,UTC+8,00:00,24:00,1,0,0,0
189,UTC+0,08:00,22:00,3,0,0,0
190,UTC+0,06:00,23:00,2,0,1,1
191,UTC+8,08:00,22:00,3,0,1,1
192,UTC+8,06:00,23:00,2,0,1,1
193,UTC-8,08:00,22:00,3,0,0,0
194,UTC-8,00:00,24:00,1,0,0,0
195,UTC+0,00:00,24:00,1,0,0,0
196,UTC+8,00:00,24:00,1,0,0,0
197,UTC+8,06:00,23:00,2,0,1,1
198,UTC+0,06:00,23:00,2,0,0,0
199,UTC+0,08:00,22:00,3,0,0,0
200,UTC+0,08:00,22:00,3,0,0,0
